迭代次数,全局最优适应度,平均适应度,最优粒子适应度
266,0.6426730081395866,0.8579713064629817,0.6426730081395866
267,0.6426730081395866,0.8574570983657801,0.6426730081395866
268,0.6426730081395866,0.8593783869129701,0.6426730081395866
269,0.6426730081395866,0.8509183730033288,0.6426730081395866
270,0.6426730081395866,0.8548760282382816,0.6426730081395866
271,0.6426730081395866,0.8697188324065732,0.6426730081395866
272,0.6426730081395866,0.8681916033161032,0.6426730081395866
273,0.6426730081395866,0.8676573830932105,0.6426730081395866
274,0.6426730081395866,0.866195115040327,0.6426730081395866
275,0.6426730081395866,0.8692293445283038,0.6426730081395866
276,0.6426730081395866,0.861594900628541,0.6426730081395866
277,0.6426730081395866,0.8587870306390915,0.6426730081395866
278,0.6426730081395866,0.8639872326346508,0.6426730081395866
279,0.6426730081395866,0.8682251635052499,0.6426730081395866
280,0.6426730081395866,0.8551987155249773,0.6426730081395866
281,0.6426730081395866,0.8622846259898721,0.6426730081395866
282,0.6426730081395866,0.8622884219320932,0.6426730081395866
283,0.6426730081395866,0.8617342072029787,0.6426730081395866
284,0.6426730081395866,0.8656233216938475,0.6426730081395866
285,0.6426730081395866,0.8695183531003561,0.6426730081395866
286,0.6426730081395866,0.8604090804373266,0.6426730081395866
287,0.6426730081395866,0.8615278030351748,0.6426730081395866
288,0.6426730081395866,0.8616775474856923,0.6426730081395866
289,0.6426730081395866,0.8588231642599448,0.6426730081395866
290,0.6426730081395866,0.8683422406643014,0.6426730081395866
291,0.6426730081395866,0.8652686601073437,0.6426730081395866
292,0.6426730081395866,0.8643840180737419,0.6426730081395866
293,0.6426730081395866,0.8682027871186757,0.6426730081395866
294,0.6426730081395866,0.8605036482059313,0.6426730081395866
295,0.6426730081395866,0.8564129762872575,0.6426730081395866
296,0.6426730081395866,0.8631123985087436,0.6426730081395866
297,0.6426730081395866,0.8559711119411473,0.6426730081395866
298,0.6426730081395866,0.8621495227312199,0.6426730081395866
299,0.6426730081395866,0.8658558908671301,0.6426730081395866
300,0.6426730081395866,0.8652592493707778,0.6426730081395866
301,0.6426730081395866,0.8618911083113574,0.6426730081395866
302,0.6426730081395866,0.8623329934706512,0.6426730081395866
303,0.6426730081395866,0.8662606278898218,0.6426730081395866
304,0.6426730081395866,0.8633003703710503,0.6426730081395866
305,0.6426730081395866,0.863241159295344,0.6426730081395866
306,0.6426730081395866,0.8592832538988585,0.6426730081395866
307,0.6426730081395866,0.8629222056630921,0.6426730081395866
308,0.6426730081395866,0.8664726601986326,0.6426730081395866
309,0.6426730081395866,0.8598533497733187,0.6426730081395866
310,0.6426730081395866,0.8604328218483195,0.6426730081395866
311,0.6426730081395866,0.8650464099890516,0.6426730081395866
312,0.6426730081395866,0.8538353709868761,0.6426730081395866
313,0.6426730081395866,0.867035537163901,0.6426730081395866
314,0.6426730081395866,0.868902693032155,0.6426730081395866
315,0.6426730081395866,0.85450929689312,0.6426730081395866
316,0.6426730081395866,0.8663422129295941,0.6426730081395866
317,0.6426730081395866,0.8598026407452763,0.6426730081395866
318,0.6426730081395866,0.8613987729405085,0.6426730081395866
319,0.6426730081395866,0.8641634957885195,0.6426730081395866
320,0.6426730081395866,0.8578346607215301,0.6426730081395866
321,0.6426730081395866,0.8673049179188485,0.6426730081395866
322,0.6426730081395866,0.8589371729730252,0.6426730081395866
323,0.6426730081395866,0.8641798476019801,0.6426730081395866
324,0.6426730081395866,0.8651931204963,0.6426730081395866
325,0.6426730081395866,0.8674010342338062,0.6426730081395866
326,0.6426730081395866,0.8641413602264809,0.6426730081395866
327,0.6426730081395866,0.8613937505603618,0.6426730081395866
328,0.6426730081395866,0.8665629790749843,0.6426730081395866
329,0.6426730081395866,0.8632465718022018,0.6426730081395866
330,0.6426730081395866,0.857425787243993,0.6426730081395866
331,0.6426730081395866,0.8519260865817158,0.6426730081395866
332,0.6426730081395866,0.8539739778083298,0.6426730081395866
333,0.6426730081395866,0.863952350120519,0.6426730081395866
334,0.6426730081395866,0.8541259679814606,0.6426730081395866
335,0.6426730081395866,0.8636090146544808,0.6426730081395866
336,0.6426730081395866,0.8569951733623941,0.6426730081395866
337,0.6426730081395866,0.8627832025222917,0.6426730081395866
338,0.6426730081395866,0.8675055935737374,0.6426730081395866
339,0.6426730081395866,0.8725488622341806,0.6426730081395866
340,0.6426730081395866,0.8630447755359267,0.6426730081395866
341,0.6426730081395866,0.8682643701320751,0.6426730081395866
342,0.6426730081395866,0.8579792814032089,0.6426730081395866
343,0.6426730081395866,0.8667725604139638,0.6426730081395866
344,0.6426730081395866,0.8685576015969884,0.6426730081395866
345,0.6426730081395866,0.8569828876503888,0.6426730081395866
346,0.6426730081395866,0.8634054985969919,0.6426730081395866
347,0.6426730081395866,0.8601090420640406,0.6426730081395866
348,0.6426730081395866,0.860651332256364,0.6426730081395866
349,0.6426730081395866,0.8611777197041108,0.6426730081395866
350,0.6426730081395866,0.8579366536652916,0.6426730081395866
351,0.6426730081395866,0.8690836495588204,0.6426730081395866
352,0.6426730081395866,0.8620561615602622,0.6426730081395866
353,0.6426730081395866,0.853433584826082,0.6426730081395866
354,0.6426730081395866,0.8503916425790901,0.6426730081395866
355,0.6426730081395866,0.8682024828226474,0.6426730081395866
356,0.6426730081395866,0.8604895367788431,0.6426730081395866
357,0.6426730081395866,0.8658458680572967,0.6426730081395866
358,0.6426730081395866,0.8662161931234061,0.6426730081395866
359,0.6426730081395866,0.861248175307525,0.6426730081395866
360,0.6426730081395866,0.8660780021425551,0.6426730081395866
361,0.6426730081395866,0.8574184744406966,0.6426730081395866
362,0.6426730081395866,0.8620010956244942,0.6426730081395866
363,0.6426730081395866,0.8692813795249108,0.6426730081395866
364,0.6426730081395866,0.8630159819379354,0.6426730081395866
365,0.6426730081395866,0.8636235852310905,0.6426730081395866
366,0.6426730081395866,0.8609409839593891,0.6426730081395866
367,0.6426730081395866,0.8710870597248523,0.6426730081395866
368,0.6426730081395866,0.8612435216357064,0.6426730081395866
369,0.6426730081395866,0.8663293851233053,0.6426730081395866
370,0.6426730081395866,0.8609837624319486,0.6426730081395866
371,0.6426730081395866,0.8664466210953614,0.6426730081395866
372,0.6426730081395866,0.8634515985682364,0.6426730081395866
373,0.6426730081395866,0.8586954284783127,0.6426730081395866
374,0.6426730081395866,0.8573377112010142,0.6426730081395866
375,0.6426730081395866,0.8676788903056418,0.6426730081395866
376,0.6426730081395866,0.8621829237059718,0.6426730081395866
377,0.6426730081395866,0.8725806302453231,0.6426730081395866
378,0.6426730081395866,0.8674327483293098,0.6426730081395866
379,0.6426730081395866,0.8665432443441751,0.6426730081395866
380,0.6426730081395866,0.8584738067701442,0.6426730081395866
381,0.6426730081395866,0.8600375794702324,0.6426730081395866
382,0.6426730081395866,0.8510178983006372,0.6426730081395866
383,0.6426730081395866,0.8563998880980361,0.6426730081395866
384,0.6426730081395866,0.8581045750376666,0.6426730081395866
385,0.6426730081395866,0.8579860430039682,0.6426730081395866
